 VARIABLE =  step , error
       42700   5.6798704983669727E-007
       42800   5.6945284398970331E-007
       42900   5.7011470005141015E-007
       43000   5.6860430647462782E-007
       43100   5.6841142160070291E-007
       43200   5.6797884244687776E-007
       43300   5.7007054993952582E-007
       43400   5.7163163277663279E-007
       43500   5.7402247998649866E-007
       43600   5.7243787033627818E-007
       43700   5.7239755422521657E-007
       43800   5.7466500564354777E-007
       43900   5.7334901806734295E-007
       44000   5.7460436585513823E-007
       44100   5.7410130994119243E-007
       44200   5.7449124074232343E-007
       44300   5.7594621714591806E-007
       44400   5.7413405674639433E-007
       44500   5.7845354534217758E-007
       44600   5.7859408239787020E-007
       44700   5.7750812598823844E-007
       44800   5.8159665087588108E-007
       44900   5.8092804934814295E-007
       45000   5.8075888222325357E-007
       45100   5.8050796040109166E-007
       45200   5.7961137277256243E-007
       45300   5.8183637164408342E-007
       45400   5.8140312762315046E-007
       45500   5.8353725885102666E-007
       45600   5.8559322225343144E-007
       45700   5.8497918209992361E-007
       45800   5.8552075697617038E-007
       45900   5.8695994148580432E-007
       46000   5.8530093075020132E-007
       46100   5.8635049131790268E-007
       46200   5.8687057829133787E-007
       46300   5.8651275330609146E-007
       46400   5.8870404846124231E-007
       46500   5.9029385396269797E-007
       46600   5.9075371878862183E-007
       46700   5.9048619512210129E-007
       46800   5.9279664157085781E-007
       46900   5.9255752206579881E-007
       47000   5.9326113006288640E-007
       47100   5.9019399940163679E-007
       47200   5.8974943984210070E-007
       47300   5.9181349003226508E-007
       47400   5.8875940228772628E-007
       47500   5.9303446385919248E-007
       47600   5.8995401162561526E-007
       47700   5.9195205007921190E-007
       47800   5.9183677289102654E-007
       47900   5.9608201489541290E-007
       48000   5.9539707901812379E-007
       48100   5.9583479499153506E-007
       48200   5.9338234401597326E-007
       48300   5.9707757337280263E-007
       48400   5.9828716894683819E-007
       48500   5.9696594460379895E-007
       48600   5.9640339387561199E-007
       48700   5.9791807363698280E-007
       48800   5.9569419384853524E-007
       48900   5.9655236906347024E-007
       49000   5.9420231292433125E-007
       49100   5.9826907597331900E-007
       49200   5.9927856932063109E-007
       49300   6.0027168835044421E-007
       49400   5.9928506113217551E-007
       49500   5.9973711361879865E-007
       49600   5.9955694191333977E-007
       49700   5.9733591442532174E-007
       49800   5.9768807096361257E-007
       49900   5.9465517986343335E-007
       50000   5.9763990494523331E-007
