 VARIABLE = X , Y , U , V
 ZONE , I=         101 , J=         101
   0.00000000      0.980000019      -3.4486951664508605E-009  -6.5789311631136234E-004
   0.00000000      0.990000010      -4.4176477002491927E-009   1.6223037338073527E-002
   0.00000000       1.00000000       3.3333337330833775E-002   2.6899042977667531E-009
   9.99999978E-03   0.00000000      -5.6577343328256186E-007   3.5086535129258310E-010
   9.99999978E-03   9.99999978E-03   3.4136691610148581E-006  -3.5082152389914209E-006
   9.99999978E-03   1.99999996E-02   1.1864676568939054E-005  -1.9506225191126427E-005
   9.99999978E-03   2.99999993E-02   1.7669599901809936E-005  -4.7549889502807702E-005
   9.99999978E-03   3.99999991E-02   2.0616204818186131E-005  -8.3020372016891144E-005
   9.99999978E-03   5.00000007E-02   2.1303383189851099E-005  -1.2146663246257562E-004
   9.99999978E-03   5.99999987E-02   2.0420680666805493E-005  -1.5963502097934693E-004
   9.99999978E-03   7.00000003E-02   1.8276812071244077E-005  -1.9492173097986968E-004
   9.99999978E-03   7.99999982E-02   1.5048453091998040E-005  -2.2483761850320793E-004
   9.99999978E-03   9.00000036E-02   1.0762620517226845E-005  -2.4744096170648119E-004
   9.99999978E-03  0.100000001       5.5436363279540775E-006  -2.6074264585754670E-004
   9.99999978E-03  0.109999999      -7.4091662526743502E-007  -2.6281589467736627E-004
   9.99999978E-03  0.119999997      -7.9501065442289093E-006  -2.5176622592781346E-004
   9.99999978E-03  0.129999995      -1.6225008417119650E-005  -2.2584752843902804E-004
   9.99999978E-03  0.140000001      -2.5309193836648807E-005  -1.8331790120910694E-004
   9.99999978E-03  0.150000006      -3.5365901097151456E-005  -1.2233123166391734E-004
   9.99999978E-03  0.159999996      -4.6210461959983450E-005  -4.1569135113424912E-005
   9.99999978E-03  0.170000002      -5.7658207360604323E-005   6.0461088805778306E-005
   9.99999978E-03  0.180000007      -6.9741155984862053E-005   1.8472731770325716E-004
   9.99999978E-03  0.189999998      -8.2087494865972624E-005   3.3189201438231346E-004
   9.99999978E-03  0.200000003      -9.4682276261978679E-005   5.0256873469482668E-004
   9.99999978E-03  0.209999993      -1.0716766581350243E-004   6.9670557365265299E-004
   9.99999978E-03  0.219999999      -1.1935321053842942E-004   9.1392595438820443E-004
   9.99999978E-03  0.230000004      -1.3104728472600877E-004   1.1533250585096186E-003
   9.99999978E-03  0.239999995      -1.4201592119882287E-004   1.4137791243792959E-003
   9.99999978E-03  0.250000000      -1.5197400877025338E-004   1.6936923072867660E-003
   9.99999978E-03  0.259999990      -1.6073570111881081E-004   1.9909997621409973E-003
   9.99999978E-03  0.270000011      -1.6817420548709020E-004   2.3033497109953460E-003
   9.99999978E-03  0.280000001      -1.7404718719119476E-004   2.6280979293965561E-003
   9.99999978E-03  0.289999992      -1.7833746354252065E-004   2.9624299632877681E-003
   9.99999978E-03  0.300000012      -1.8088285354253976E-004   3.3030654196319481E-003
   9.99999978E-03  0.310000002      -1.8160755670308857E-004   3.6470755211376812E-003
   9.99999978E-03  0.319999993      -1.8053333531031445E-004   3.9909667714702118E-003
   9.99999978E-03  0.330000013      -1.7763874275263558E-004   4.3313308777881959E-003
   9.99999978E-03  0.340000004      -1.7298502019832702E-004   4.6651362011462935E-003
   9.99999978E-03  0.349999994      -1.6668395104962994E-004   4.9891340174033419E-003
   9.99999978E-03  0.360000014      -1.5873308458992392E-004   5.3002907506951519E-003
   9.99999978E-03  0.370000005      -1.4935244287329235E-004   5.5957426586214472E-003
   9.99999978E-03  0.379999995      -1.3856885858263402E-004   5.8729710777415964E-003
   9.99999978E-03  0.389999986      -1.2667575478735220E-004   6.1296752244764646E-003
   9.99999978E-03  0.400000006      -1.1377138583742400E-004   6.3636315369527633E-003
   9.99999978E-03  0.409999996      -9.9945926361374754E-005   6.5731394725535193E-003
   9.99999978E-03  0.419999987      -8.5508235238361893E-005   6.7568519571346262E-003
   9.99999978E-03  0.430000007      -7.0697642492732930E-005   6.9133255469366137E-003
   9.99999978E-03  0.439999998      -5.5323603821808240E-005   7.0419187103384646E-003
   9.99999978E-03  0.449999988      -4.0020795553676152E-005   7.1419673303675041E-003
   9.99999978E-03  0.460000008      -2.4534298706040557E-005   7.2133232543696042E-003
   9.99999978E-03  0.469999999      -9.2977153909677928E-006   7.2557904394523762E-003
   9.99999978E-03  0.479999989       5.6671796404278791E-006   7.2697456529193143E-003
   9.99999978E-03  0.490000010       2.0228098078564032E-005   7.2557216378898162E-003
   9.99999978E-03  0.500000000       3.4321864044073986E-005   7.2144481068153908E-003
   9.99999978E-03  0.509999990       4.7683749112777246E-005   7.1470203193333250E-003
   9.99999978E-03  0.519999981       6.0390995631579842E-005   7.0542861018371870E-003
   9.99999978E-03  0.529999971       7.2261277602510198E-005   6.9378480163066808E-003
   9.99999978E-03  0.540000021       8.3194712535641631E-005   6.7990618367014680E-003
   9.99999978E-03  0.550000012       9.3265533255189309E-005   6.6395705024691314E-003
